PPSX00| xenon| 1.34| 3.2790697674418605| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [854.1116585217396, 27.47478574846176, 122.57915264644046, 0.9390124733488611, 94.51791767251672, 0.3959750358512596, 0.421693052105121]
PPSX00| xenon| 1.34| 4.276162790697675| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [779.1760355961412, 32.68577782973974, 132.39079339417637, 0.9435732889053959, 100.68748286772943, 0.38481330767033095, 0.4078255628841916]
PPSX00| xenon| 1.34| 5.273255813953488| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [717.8162324450993, 37.13309277290574, 138.75990143696916, 0.9422137261623417, 104.90980384404021, 0.36937573449593775, 0.3920296682584043]
PPSX00| xenon| 1.34| 6.270348837209303| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [664.5814377344964, 40.87981453868128, 142.24933766009386, 0.9367978440656348, 107.94953001163117, 0.3518908501729652, 0.3756315755870919]
PPSX00| xenon| 1.34| 7.267441860465116| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [616.9853536922037, 43.98710988168981, 143.46422255757494, 0.9278882715567222, 110.07043080713309, 0.33310759326311506, 0.3589953698889404]
PPSX00| xenon| 1.34| 8.26453488372093| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [573.8019219494022, 46.521040862913075, 142.96280103568301, 0.9158564003367491, 111.48279727626236, 0.31376815758964016, 0.3425953648129461]
PPSX00| xenon| 1.34| 9.261627906976745| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [534.4281706557395, 48.55631037286951, 141.25462581114508, 0.9010966061387378, 112.45441967343602, 0.2947846620112545, 0.32713990930942194]
PPSX00| xenon| 1.34| 10.258720930232558| 100.0| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [498.53620629705534, 50.171712815519896, 138.74512143042685, 0.8842537750323602, 112.9563197829363, 0.27621435827083357, 0.3123700074231804]
PPSX00| xenon| 1.34| 3.2790697674418605| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [976.1672755663859, 31.40103109851583, 157.25407233598736, 0.9561042843009784, 91.34564970151581, 0.43737214978947364, 0.45745234800327517]
PPSX00| xenon| 1.34| 4.276162790697675| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [899.5524589052249, 37.7354673074315, 172.71978315008363, 0.9639913906017191, 97.84229943328688, 0.43171004850195777, 0.4478360001041982]
PPSX00| xenon| 1.34| 5.273255813953488| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [837.9439216811134, 43.34737496293251, 184.28437415312519, 0.9667813350079333, 102.4798055265003, 0.4212037793170481, 0.43567636658354786]
PPSX00| xenon| 1.34| 6.270348837209303| 112.5| 0.01831563888873418_0.10539922456186433_0.36787944117144233_0.7788007830714049_1.0| [784.8927893048367, 48.2804210856527, 192.2846708669361, 0.9666644271226321, 105.99768626657476, 0.4080804003029593, 0.4221531162759854]
